code,name,type,active,date_start,date_end
S33000003,Ayrshire,brma,True,2009-01-05T00:00:00,
S33000004,Dumfries and Galloway,brma,True,2009-01-05T00:00:00,
S33000005,Dundee and Angus,brma,True,2009-01-05T00:00:00,
S33000008,Forth Valley,brma,True,2009-01-05T00:00:00,
S33000010,Highland and Islands,brma,True,2009-01-05T00:00:00,
S33000002,Argyll and Bute,brma,True,2009-01-05T00:00:00,
S33000007,Fife,brma,True,2009-01-05T00:00:00,
S33000009,Greater Glasgow,brma,True,2009-01-05T00:00:00,
S33000011,Lothian,brma,True,2009-01-05T00:00:00,
S33000012,North Lanarkshire,brma,True,2009-01-05T00:00:00,
S33000014,Renfrewshire / Inverclyde,brma,True,2009-01-05T00:00:00,
S33000016,South Lanarkshire,brma,True,2009-01-05T00:00:00,
S33000006,East Dunbartonshire,brma,True,2009-01-05T00:00:00,
S33000015,Scottish Borders,brma,True,2009-01-05T00:00:00,
S33000017,West Dunbartonshire,brma,True,2009-01-05T00:00:00,
S33000018,West Lothian,brma,True,2009-01-05T00:00:00,
S33000001,Aberdeen and Shire,brma,True,2009-01-05T00:00:00,
S33000013,Perth and Kinross,brma,True,2009-01-05T00:00:00,
